"RG","TG"
"PIK3CA_PIK3CD","PIK3CA","PIK3CD"
"PIK3CB_PIK3CD","PIK3CB","PIK3CD"
"PIK3R2_PIK3CD","PIK3R2","PIK3CD"
"P3R3URF.PIK3R3_PIK3CD","P3R3URF.PIK3R3","PIK3CD"
"AKT1_PIK3CD","AKT1","PIK3CD"
"AKT2_PIK3CD","AKT2","PIK3CD"
"AKT3_PIK3CD","AKT3","PIK3CD"
"IKBKB_PIK3CD","IKBKB","PIK3CD"
"NFKB1_PIK3CD","NFKB1","PIK3CD"
"RELA_PIK3CD","RELA","PIK3CD"
"MTOR_PIK3CD","MTOR","PIK3CD"
"EIF4EBP1_PIK3CD","EIF4EBP1","PIK3CD"
"RPS6KB1_PIK3CD","RPS6KB1","PIK3CD"
"RPS6KB2_PIK3CD","RPS6KB2","PIK3CD"
"GRB2_PIK3CD","GRB2","PIK3CD"
"ARAF_PIK3CD","ARAF","PIK3CD"
"BRAF_PIK3CD","BRAF","PIK3CD"
"RAF1_PIK3CD","RAF1","PIK3CD"
"MAP2K1_PIK3CD","MAP2K1","PIK3CD"
"MAPK1_PIK3CD","MAPK1","PIK3CD"
"MAPK3_PIK3CD","MAPK3","PIK3CD"
"STAT3_PIK3CD","STAT3","PIK3CD"
"STAT5A_PIK3CD","STAT5A","PIK3CD"
"STAT5B_PIK3CD","STAT5B","PIK3CD"
"CSF1R_PIK3CD","CSF1R","PIK3CD"
"MPO_PIK3CD","MPO","PIK3CD"
"CSF2_PIK3CD","CSF2","PIK3CD"
"RUNX1T1_PIK3CD","RUNX1T1","PIK3CD"
"PML_PIK3CD","PML","PIK3CD"
"RARA_PIK3CD","RARA","PIK3CD"
"PER2_PIK3CD","PER2","PIK3CD"
"SPI1_PIK3CD","SPI1","PIK3CD"
"CD14_PIK3CD","CD14","PIK3CD"
"FCGR1A_PIK3CD","FCGR1A","PIK3CD"
"CEBPE_PIK3CD","CEBPE","PIK3CD"
"BCL2A1_PIK3CD","BCL2A1","PIK3CD"
"CCNA2_PIK3CD","CCNA2","PIK3CD"
"MYC_PIK3CD","MYC","PIK3CD"
"DUSP6_PIK3CD","DUSP6","PIK3CD"
"JUP_PIK3CD","JUP","PIK3CD"
"TCF7_PIK3CD","TCF7","PIK3CD"
"TCF7L1_PIK3CD","TCF7L1","PIK3CD"
"TCF7L2_PIK3CD","TCF7L2","PIK3CD"
"LEF1_PIK3CD","LEF1","PIK3CD"
"CCND1_PIK3CD","CCND1","PIK3CD"
"PPARD_PIK3CD","PPARD","PIK3CD"
"KIT_PIK3CB","KIT","PIK3CB"
"FLT3_PIK3CB","FLT3","PIK3CB"
"PIK3CA_PIK3CB","PIK3CA","PIK3CB"
"PIK3CD_PIK3CB","PIK3CD","PIK3CB"
"PIK3R1_PIK3CB","PIK3R1","PIK3CB"
"PIK3R2_PIK3CB","PIK3R2","PIK3CB"
"AKT1_PIK3CB","AKT1","PIK3CB"
"AKT3_PIK3CB","AKT3","PIK3CB"
"CHUK_PIK3CB","CHUK","PIK3CB"
"IKBKB_PIK3CB","IKBKB","PIK3CB"
"IKBKG_PIK3CB","IKBKG","PIK3CB"
"RELA_PIK3CB","RELA","PIK3CB"
"BAD_PIK3CB","BAD","PIK3CB"
"MTOR_PIK3CB","MTOR","PIK3CB"
"EIF4EBP1_PIK3CB","EIF4EBP1","PIK3CB"
"RPS6KB1_PIK3CB","RPS6KB1","PIK3CB"
"RPS6KB2_PIK3CB","RPS6KB2","PIK3CB"
"GRB2_PIK3CB","GRB2","PIK3CB"
"SOS1_PIK3CB","SOS1","PIK3CB"
"SOS2_PIK3CB","SOS2","PIK3CB"
"HRAS_PIK3CB","HRAS","PIK3CB"
"ARAF_PIK3CB","ARAF","PIK3CB"
"BRAF_PIK3CB","BRAF","PIK3CB"
"RAF1_PIK3CB","RAF1","PIK3CB"
"MAP2K2_PIK3CB","MAP2K2","PIK3CB"
"MAPK1_PIK3CB","MAPK1","PIK3CB"
"MAPK3_PIK3CB","MAPK3","PIK3CB"
"STAT3_PIK3CB","STAT3","PIK3CB"
"STAT5A_PIK3CB","STAT5A","PIK3CB"
"STAT5B_PIK3CB","STAT5B","PIK3CB"
"PIM1_PIK3CB","PIM1","PIK3CB"
"PIM2_PIK3CB","PIM2","PIK3CB"
"MPO_PIK3CB","MPO","PIK3CB"
"IL3_PIK3CB","IL3","PIK3CB"
"RUNX1T1_PIK3CB","RUNX1T1","PIK3CB"
"PML_PIK3CB","PML","PIK3CB"
"RARA_PIK3CB","RARA","PIK3CB"
"ZBTB16_PIK3CB","ZBTB16","PIK3CB"
"PER2_PIK3CB","PER2","PIK3CB"
"SPI1_PIK3CB","SPI1","PIK3CB"
"CD14_PIK3CB","CD14","PIK3CB"
"ITGAM_PIK3CB","ITGAM","PIK3CB"
"FCGR1A_PIK3CB","FCGR1A","PIK3CB"
"CEBPE_PIK3CB","CEBPE","PIK3CB"
"BCL2A1_PIK3CB","BCL2A1","PIK3CB"
"CCNA2_PIK3CB","CCNA2","PIK3CB"
"CCNA1_PIK3CB","CCNA1","PIK3CB"
"MYC_PIK3CB","MYC","PIK3CB"
"DUSP6_PIK3CB","DUSP6","PIK3CB"
"JUP_PIK3CB","JUP","PIK3CB"
"TCF7_PIK3CB","TCF7","PIK3CB"
"TCF7L1_PIK3CB","TCF7L1","PIK3CB"
"TCF7L2_PIK3CB","TCF7L2","PIK3CB"
"LEF1_PIK3CB","LEF1","PIK3CB"
"CCND1_PIK3CB","CCND1","PIK3CB"
"PPARD_PIK3CB","PPARD","PIK3CB"
"FLT3_PIK3R1","FLT3","PIK3R1"
"PIK3CA_PIK3R1","PIK3CA","PIK3R1"
"PIK3CD_PIK3R1","PIK3CD","PIK3R1"
"PIK3CB_PIK3R1","PIK3CB","PIK3R1"
"PIK3R2_PIK3R1","PIK3R2","PIK3R1"
